taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,New Malitbog,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4607,0.4,0.01,37268.35,2022,14,8,3,0,28.7,11537.67,47.36,0,9.0,3.0,9.353459282120323
Individual,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Biao Joaquin,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,114,0.2,0.0124,2640.99,2021,10,8,2,0,25.9,563.41,53.19,0,3.0,1.0,6.335780937752244
Individual,City of Davao,Davao Del Sur,Davao De Oro,Laak,El Katipunan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2340,0.4,0.01,19983.25,2022,10,8,2,1,34.2,11923.9,66.54,0,6.0,2.0,9.386383929977146
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Tungakalan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,380,0.5,0.0145,70921.46,2022,6,6,2,1,39.7,44694.79,36.13,1,,,10.70763459272093
Company,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Buda,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,142,0.2,0.0128,3219.3,2024,7,6,3,1,60.7,2021.58,15.35,1,12.0,4.0,7.612129203156549
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,San Miguel,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,237,0.2,0.014,5608.87,2024,19,8,2,1,49.1,3759.02,47.64,0,9.0,3.0,8.23217955551873
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Santa Cruz,Zone IV (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,623,0.5,0.0171,53183.6,2024,16,8,5,2,107.7,64783.59,5.0,1,6.0,2.0,11.078823045417431
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bato,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,382,0.5,0.0183,78633.72,2022,3,3,1,0,14.9,23585.89,88.34,0,12.0,4.0,10.068446328187127
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Riverside,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,276,0.2,0.0106,5919.93,2021,1,1,1,1,31.7,3762.02,53.37,1,9.0,3.0,8.232977105487631
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Saloy,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 22C,92,0.25,0.0135,3477.3,2021,12,8,3,2,73.5,3643.3,5.0,1,3.0,1.0,8.200919582104222
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Limbahan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,335,0.45,0.0152,18701.8,2023,15,8,1,0,20.6,2568.83,85.88,0,9.0,3.0,7.851595027841477
Individual,Banaybanay,Davao Oriental,Davao Del Norte,Asuncion,Buan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,264,0.2,0.0129,4639.17,2024,7,6,3,1,40.4,2855.29,35.99,1,9.0,3.0,7.957278858920822
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Baganihan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,267,0.2,0.0113,3692.07,2023,15,8,2,0,14.9,891.02,77.47,0,9.0,3.0,6.793488553853314
Individual,City of Panabo,Davao Del Norte,Davao De Oro,Maco,Limbo,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10A,33,0.25,0.0141,1607.45,2022,15,8,3,1,53.7,1082.11,33.51,1,,,6.987591811556895
Individual,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,San Isidro,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 23A,82,0.25,0.0152,4815.02,2024,4,4,2,1,54.0,2788.78,43.37,1,12.0,4.0,7.933718018659752
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Lungag,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,74,0.2,0.0106,1004.54,2022,8,7,2,1,47.6,564.58,55.1,0,12.0,4.0,6.337851753278234
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Subasta,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,281,0.2,0.0105,5277.59,2022,14,8,1,0,20.3,807.8,91.24,0,9.0,3.0,6.695551667706262
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,Southern Davao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,259,0.2,0.0132,4713.46,2021,14,8,2,1,45.5,3078.28,44.15,0,12.0,4.0,8.032451082406268
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Igpit,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,120,0.45,0.0169,9619.42,2024,8,8,3,1,60.0,6411.82,35.14,1,3.0,1.0,8.766054390768048
Company,Sulop,Davao Del Sur,Davao Del Sur,City of Davao,Crossing Bayabas,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,477,0.4,0.0164,11457.93,2024,12,8,1,1,29.5,7229.07,63.76,0,9.0,3.0,8.886003996986993
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Manambulan,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,616,0.2,0.0128,8377.31,2023,3,4,2,1,62.4,5772.74,26.75,1,9.0,3.0,8.661075329766696
Company,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Mintal,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1634,0.5,0.0184,153592.16,2022,16,8,2,0,16.5,56191.1,79.63,0,3.0,1.0,10.93653145660596
Individual,Kapalong,Davao Del Norte,Davao Del Sur,City of Davao,Carmen,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,211,0.2,0.0144,3169.49,2021,15,8,3,1,54.7,2359.47,45.87,1,9.0,3.0,7.766616030733793
Individual,Mabini,Davao De Oro,Davao Del Sur,City of Davao,Mulig,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,587,0.2,0.0104,5987.96,2024,7,8,1,1,38.3,3372.73,68.21,0,6.0,2.0,8.123774236193116
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Ubalde,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,235,0.2,0.0106,2902.18,2022,2,2,1,1,39.8,1232.99,57.58,1,6.0,2.0,7.118008100704783
Individual,City of Davao,Davao Del Sur,Davao De Oro,Pantukan,Araibo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,139,0.2,0.0138,1646.29,2024,7,6,1,0,16.6,198.12,81.8,0,9.0,3.0,5.293907658059337
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Los Amigos,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,201,0.2,0.0121,2678.74,2023,16,8,2,1,54.7,1822.81,49.37,0,9.0,3.0,7.508682998541886
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Catalunan Pequeño,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,626,0.5,0.0169,68099.41,2024,15,8,1,1,34.7,37019.77,80.64,0,9.0,3.0,10.519234385478981
Individual,Lupon,Davao Oriental,Davao Del Sur,City of Davao,Wilfredo Aquino,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,316,0.2,0.0111,3725.12,2022,15,8,2,1,41.0,2703.52,57.27,0,6.0,2.0,7.902679726366409
Company,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Bago Aplaya,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,206,0.2,0.011,1524.24,2024,4,4,1,1,28.7,872.12,36.73,1,3.0,1.0,6.772073003437922
Company,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Tagurano,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,102,0.5,0.0146,18953.87,2023,14,8,2,1,47.9,12905.85,48.62,1,6.0,2.0,9.465513457166974
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Matanao,New Visayas,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1559,0.4,0.0124,11329.27,2022,4,4,2,1,59.9,6593.64,22.19,1,12.0,4.0,8.794012476853313
Company,City of Davao,Davao Del Sur,Davao Del Norte,Asuncion,Doña Andrea,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1944,0.5,0.0161,158608.19,2023,15,8,2,1,34.8,107376.91,48.08,0,3.0,1.0,11.584109760199881
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Saloy,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,128,0.2,0.0134,1607.07,2021,16,8,2,1,30.0,871.39,66.15,0,6.0,2.0,6.771236571629958
Individual,Laak,Davao De Oro,Davao Del Sur,City of Davao,Acacia,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,382,0.2,0.0102,2707.14,2022,3,2,2,1,58.1,1407.93,16.59,1,,,7.25058583004
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Mahayahay,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,988,0.4,0.0113,3959.37,2024,20,8,2,1,45.7,2118.35,40.12,0,3.0,1.0,7.658864716879926
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Sanghay,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,772,0.2,0.0111,3865.65,2024,12,8,2,1,32.9,2115.87,55.38,0,12.0,4.0,7.657693861597
Company,City of Tagum,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 34-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,222,0.2,0.0114,2636.81,2021,1,1,1,0,30.2,754.82,49.55,1,9.0,3.0,6.627803252592266
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,San Agustin,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,326,0.5,0.0165,35610.37,2021,16,8,1,0,21.6,12015.79,75.47,0,6.0,2.0,9.3940601175152
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 5-A (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4380,0.4,0.0108,10943.01,2021,4,3,2,1,60.8,6980.58,37.91,1,3.0,1.0,8.851030531172144
Company,City of Davao,Davao Del Sur,Davao Del Norte,New Corella,Macgum,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,460,0.5,0.0161,69156.14,2021,4,4,1,0,21.8,11426.7,90.12,0,6.0,2.0,9.343795511693527
Company,New Bataan,Davao De Oro,Davao Del Norte,Carmen,Cebulano,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,652,0.4,0.0144,21059.51,2021,17,8,4,2,80.0,22498.46,7.28,1,9.0,3.0,10.021246587904507
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bantol,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,68,0.2,0.0122,1248.27,2024,13,8,4,2,69.9,1543.53,5.0,1,6.0,2.0,7.342474935931733
Individual,Monkayo,Davao De Oro,Davao De Oro,Laak,Naga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,142,0.2,0.0117,2568.8,2023,4,5,1,1,27.5,1621.6,66.2,0,3.0,1.0,7.391785079960965
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Panalum,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,268,0.2,0.0131,4446.99,2023,16,8,5,1,92.3,3775.53,6.52,1,12.0,4.0,8.236560877585315
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 39-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,197,0.2,0.0108,3168.91,2023,13,8,3,1,52.7,2184.98,34.61,0,6.0,2.0,7.689819519563798
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Paciano Bangoy,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,333,0.2,0.0128,5133.19,2022,4,4,2,0,23.7,2153.78,49.35,0,12.0,4.0,7.675443909159443
Company,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,San Isidro,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,280,0.5,0.0162,34891.52,2023,9,8,4,2,99.4,39792.83,5.0,1,6.0,2.0,10.591467154129264
Individual,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 37-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,148,0.2,0.0143,2748.81,2021,18,8,1,1,29.9,1460.07,75.16,0,,,7.286924322991712
Individual,Sulop,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,111,0.2,0.0123,2185.02,2023,9,8,3,1,42.8,1443.85,26.83,1,12.0,4.0,7.27576078892992
Company,Lupon,Davao Oriental,Davao Oriental,City of Mati,Mayo,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,499,0.5,0.0153,60082.12,2024,6,7,2,1,28.8,33257.43,51.95,0,12.0,4.0,10.412063547784316
Individual,City of Mati,Davao Oriental,Davao Del Sur,Sulop,Harada Butai,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,159,0.2,0.0133,1973.46,2021,17,8,3,2,74.0,2198.47,5.0,1,9.0,3.0,7.695971701232241
Company,Lupon,Davao Oriental,Davao Del Sur,Sulop,Poblacion,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,421,0.4,0.016,19409.54,2023,14,8,5,1,62.4,15830.87,7.74,1,3.0,1.0,9.669780276030902
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lubogan,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,154,0.2,0.0116,893.05,2024,10,8,2,1,45.5,479.46,42.99,0,,,6.174743978327049
Individual,City of Davao,Davao Del Sur,Davao Oriental,Caraga,Pichon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,246,0.2,0.0141,2869.6,2022,18,8,2,1,31.9,2010.8,67.1,0,12.0,4.0,7.606785122700238
Individual,Lupon,Davao Oriental,Davao Oriental,Caraga,Santa Fe,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,90,0.2,0.0115,1031.13,2022,9,8,4,2,93.7,1095.92,5.0,1,,,7.000261531453727
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talandang,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,795,0.5,0.019,96393.69,2023,16,8,2,1,47.1,65094.55,38.92,1,6.0,2.0,11.083611469485449
Individual,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Binugao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,234,0.2,0.0137,2880.17,2021,18,8,1,0,22.2,946.82,82.01,0,,,6.854164610809061
Company,Banaybanay,Davao Oriental,Davao De Oro,Mawab,Bawani,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,235,0.5,0.0155,15377.41,2021,7,7,1,1,45.7,8484.3,52.06,0,12.0,4.0,9.046090533554791
Individual,San Isidro,Davao Oriental,Davao Del Sur,Matanao,Kibao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,143,0.2,0.0109,2106.58,2022,7,8,1,0,22.4,641.67,78.95,0,6.0,2.0,6.465631373210922
Individual,Kiblawan,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Tambo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,227,0.2,0.0142,4811.95,2021,9,8,2,1,46.6,3023.98,36.49,0,12.0,4.0,8.014659758872837
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Asuncion,Doña Andrea,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,269,0.2,0.0113,1875.7,2023,13,8,2,1,49.0,1013.71,51.3,0,6.0,2.0,6.9223581363660704
Company,Pantukan,Davao De Oro,Davao Del Norte,City of Panabo,San Roque,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,432,0.5,0.0156,78053.16,2021,8,7,2,1,28.4,47959.84,65.66,0,9.0,3.0,10.778140123583569
Individual,City of Davao,Davao Del Sur,Davao De Oro,Monkayo,Salvacion,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,192,0.2,0.0118,805.21,2022,4,4,2,1,72.3,487.21,28.02,1,9.0,3.0,6.190745641157517
Individual,Magsaysay,Davao Del Sur,Davao Del Sur,Sulop,Tanwalang,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3402,0.4,0.0128,33164.26,2022,18,8,3,1,50.3,21886.15,36.23,1,9.0,3.0,9.993654985603888
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Tawan-tawan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,151,0.2,0.0128,3309.9,2022,12,8,1,1,27.4,1502.84,64.93,0,6.0,2.0,7.315777115871991
Individual,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Toril (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,305,0.2,0.0131,5777.69,2024,6,5,1,1,31.2,2685.26,72.18,0,6.0,2.0,7.895905170611495
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Panacan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,974,0.4,0.013,27579.43,2022,15,8,1,1,29.8,16532.06,72.02,0,12.0,4.0,9.713117291650185
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 20-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,212,0.2,0.0106,2305.83,2021,13,8,5,1,73.2,2365.49,8.65,1,12.0,4.0,7.769163123687681
Individual,Sulop,Davao Del Sur,Davao Del Sur,City of Davao,Cadalian,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,83,0.2,0.0133,1546.37,2021,16,8,5,1,87.1,1437.2,5.0,1,6.0,2.0,7.271147610668394
Company,Maco,Davao De Oro,Davao Del Sur,Kiblawan,Kimlawis,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10D,115,0.25,0.0136,6534.58,2022,15,8,2,0,19.3,2520.88,74.92,0,6.0,2.0,7.832759934108145
Company,Maco,Davao De Oro,Davao Del Sur,City of Davao,Alejandra Navarro (Lasang),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,609,0.5,0.0178,93705.16,2021,6,5,2,1,44.3,50621.38,41.38,1,9.0,3.0,10.832149049983183
Individual,Santa Maria,Davao Occidental,Davao Del Norte,New Corella,San Roque,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,230,0.2,0.0108,2375.93,2024,10,8,1,0,16.7,536.44,79.11,0,6.0,2.0,6.2868171258639824
Company,City of Davao,Davao Del Sur,Davao Del Sur,Padada,"Don Sergio Osmeña, Sr.",Residential,RES-01,Residential Zone,Single Detached Housing,N/A,171,0.2,0.0142,2604.07,2023,5,4,1,1,47.8,1490.51,50.76,0,3.0,1.0,7.307544308592066
Individual,Monkayo,Davao De Oro,Davao Oriental,City of Mati,Langka,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,678,0.2,0.0113,3860.03,2021,13,8,3,1,48.2,2385.79,38.22,0,12.0,4.0,7.777704645929078
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bunawan (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,231,0.2,0.014,6634.93,2023,16,8,2,1,57.1,4603.44,40.7,0,12.0,4.0,8.434776334345715
Individual,Magsaysay,Davao Del Sur,Davao Oriental,City of Mati,Sainz,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 24A,42,0.25,0.0117,1616.39,2024,21,8,3,1,74.3,1251.48,24.53,1,9.0,3.0,7.132880864767657
Company,City of Davao,Davao Del Sur,Davao Del Norte,Kapalong,Maniki,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,643,0.5,0.0149,79734.45,2022,8,7,1,1,49.6,41998.73,49.54,0,6.0,2.0,10.645418468673414
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,"Don Salvador Lopez, Sr.",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,488,0.2,0.0104,4433.78,2022,6,5,2,1,46.6,3144.03,34.61,1,6.0,2.0,8.05357870803976
Company,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Tandang Sora,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,516,0.4,0.0151,7836.46,2024,18,8,1,0,16.3,1453.11,87.55,0,6.0,2.0,7.282149308601906
Company,City of Mati,Davao Oriental,Davao Del Sur,Matanao,  San Miguel ,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,555,0.5,0.0163,75971.27,2024,6,5,2,1,57.2,47690.61,45.28,1,6.0,2.0,10.772510770420475
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Matina Crossing,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,115,0.2,0.0132,1842.83,2022,16,8,3,1,48.6,1244.26,36.96,1,3.0,1.0,7.127099622437109
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Cabantian,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,171,0.2,0.0112,3057.48,2021,6,7,2,1,55.3,1947.25,50.19,0,12.0,4.0,7.57468681272367
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Matanao,Lower Marber,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,702,0.2,0.0109,5426.49,2024,8,8,1,0,21.8,1009.03,94.26,0,3.0,1.0,6.917735312364478
Individual,Santo Tomas,Davao Del Norte,Davao Del Norte,Kapalong,Florida,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,141,0.2,0.0135,1866.95,2022,4,5,2,1,50.3,944.89,50.35,0,9.0,3.0,6.852126283221176
Company,Magsaysay,Davao Del Sur,Davao Oriental,City of Mati,Mayo,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,482,0.5,0.0178,68816.27,2024,14,8,3,2,86.4,71769.91,9.98,1,,,11.181234519736238
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Communal,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,245,0.5,0.0168,40905.63,2021,14,8,3,1,50.5,28947.81,42.11,1,9.0,3.0,10.273284376802234
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tibungco,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,96,0.2,0.0113,1207.24,2024,13,8,1,1,38.5,584.98,64.42,0,6.0,2.0,6.373285659301748
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talomo (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,286,0.5,0.017,54916.74,2021,7,8,2,1,25.2,31982.64,58.03,0,3.0,1.0,10.372979801049022
Company,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,Meybio,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1882,0.5,0.0187,189446.69,2023,9,8,2,1,39.5,133917.67,51.69,0,9.0,3.0,11.804987954371716
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Buhangin (Pob.),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,162,0.45,0.016,23888.04,2022,7,6,1,0,15.5,6373.13,77.57,0,12.0,4.0,8.760002890125433
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,La Libertad,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,759,0.2,0.0127,7570.1,2024,5,5,2,1,53.0,5587.61,43.36,1,,,8.628485876910114
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mabuhay,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10D,40,0.25,0.0115,1512.98,2023,19,8,1,0,22.6,266.39,83.31,0,12.0,4.0,5.588708266810736
Individual,Tarragona,Davao Oriental,Davao Del Sur,City of Davao,Indangan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,592,0.5,0.0153,59341.47,2024,18,8,2,1,38.5,37795.22,41.98,0,3.0,1.0,10.539964376607346
Individual,San Isidro,Davao Del Norte,Davao Del Sur,City of Davao,Gatungan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,154,0.2,0.0132,3772.14,2023,10,8,2,1,60.2,1999.1,36.08,0,3.0,1.0,7.600952458292124
Individual,City of Davao,Davao Del Sur,Davao De Oro,Nabunturan,Libasan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,159,0.2,0.014,1835.15,2023,18,8,1,1,26.4,913.88,73.24,0,12.0,4.0,6.818792909133947
Company,City of Davao,Davao Del Sur,Davao Oriental,Manay,Old Macopa,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,264,0.2,0.0142,5562.89,2022,15,8,2,0,22.9,1313.51,75.57,0,6.0,2.0,7.181219251596305
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bayabas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,287,0.2,0.0126,6724.33,2021,10,8,1,1,33.4,3673.68,78.99,0,,,8.209221333025772
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 23-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,290,0.2,0.0106,5517.16,2022,7,6,2,1,53.6,3504.15,36.74,1,9.0,3.0,8.161988594558673
Company,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Tamugan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4707,0.4,0.0103,53474.01,2024,5,5,2,1,42.8,34894.26,39.51,1,9.0,3.0,10.460106282347695
Individual,Baganga,Davao Oriental,Davao Del Norte,City of Panabo,Little Panay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,123,0.2,0.0138,2151.78,2023,15,8,2,1,46.9,1200.41,49.63,0,9.0,3.0,7.09125114600386
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Malagos,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,433,0.5,0.0183,72078.17,2021,4,3,1,1,34.1,38057.38,63.21,1,3.0,1.0,10.546876575572208
Individual,Santa Maria,Davao Occidental,Davao De Oro,New Bataan,Cogonon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,273,0.2,0.0115,4305.94,2023,17,8,1,1,35.1,2352.64,74.33,0,6.0,2.0,7.763718344944088
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Digos,Goma,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,117,0.5,0.0155,15100.95,2021,18,8,2,1,35.9,8905.92,36.54,0,6.0,2.0,9.094583781691748
Individual,City of Davao,Davao Del Sur,Davao De Oro,Compostela,Mapaca,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4126,0.4,0.0107,32216.26,2023,9,8,4,1,60.4,28643.61,10.46,1,3.0,1.0,10.262720571808469
Individual,Matanao,Davao Del Sur,Davao Del Sur,Matanao,San Miguel,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,305,0.2,0.0121,3349.5,2021,16,8,2,1,28.8,1928.68,62.91,0,,,7.565109465043268
